Timestamp, RAM_Available_MB, GPU_Free_MB
2026-05-08 02:14:56, 5832.20, 1575
2026-05-08 02:15:26, 18266.83, 5745
2026-05-08 02:15:56, 14574.01, 5379
2026-05-08 02:16:26, 11309.14, 5274
2026-05-08 02:16:56, 7943.69, 4909
2026-05-08 02:17:26, 5159.20, 1214
2026-05-08 02:17:56, 4514.63, 893
2026-05-08 02:18:26, 4454.03, 899
2026-05-08 02:18:56, 2814.87, 616
2026-05-08 02:19:26, 2968.66, 888
2026-05-08 02:19:56, 4467.20, 907
2026-05-08 02:20:26, 18187.35, 5623
2026-05-08 02:20:56, 14040.21, 5243
2026-05-08 02:21:26, 10130.20, 4932
2026-05-08 02:21:56, 6852.49, 736
2026-05-08 02:22:26, 6198.73, 913
2026-05-08 02:22:56, 5824.70, 1015
2026-05-08 02:23:26, 5609.18, 1028
2026-05-08 02:23:56, 2902.56, 523
2026-05-08 02:24:26, 6487.95, 988
2026-05-08 02:24:56, 5991.38, 4335
2026-05-08 02:25:26, 16935.72, 5558
2026-05-08 02:25:57, 13677.05, 5291
2026-05-08 02:26:27, 9803.39, 4878
2026-05-08 02:26:57, 8319.35, 986
2026-05-08 02:27:27, 7842.15, 1004
2026-05-08 02:27:57, 7237.17, 1004
2026-05-08 02:28:27, 5119.52, 640
2026-05-08 02:28:57, 8109.35, 974
2026-05-08 02:29:27, 18213.30, 5677
2026-05-08 02:29:57, 15226.16, 5332
2026-05-08 02:30:27, 11420.39, 5111
2026-05-08 02:30:57, 8663.62, 3733
2026-05-08 02:31:27, 8308.37, 1005
2026-05-08 02:31:57, 8102.57, 1008
2026-05-08 02:32:27, 6317.84, 791
2026-05-08 02:32:57, 8415.86, 980
2026-05-08 02:33:27, 7807.92, 1000
2026-05-08 02:33:57, 20161.93, 5866
2026-05-08 02:34:27, 16105.52, 5487
2026-05-08 02:34:57, 11824.38, 5107
2026-05-08 02:35:27, 8719.45, 1421
2026-05-08 02:35:57, 7885.04, 1001
2026-05-08 02:36:27, 7738.45, 1008
2026-05-08 02:36:57, 7418.16, 1009
2026-05-08 02:37:27, 3774.85, 602
2026-05-08 02:37:58, 7229.98, 999
2026-05-08 02:38:28, 19962.14, 5865
2026-05-08 02:38:58, 16899.89, 5513
2026-05-08 02:39:28, 13555.05, 5300
2026-05-08 02:39:58, 9444.41, 4798
2026-05-08 02:40:28, 8085.09, 1207
2026-05-08 02:40:58, 7780.16, 1008
2026-05-08 02:41:28, 7715.74, 1007
2026-05-08 02:41:58, 5866.42, 782
2026-05-08 02:42:28, 8173.81, 976
2026-05-08 02:42:58, 7081.89, 995
2026-05-08 02:43:28, 19427.80, 5717
2026-05-08 02:43:58, 15163.70, 5435
2026-05-08 02:44:28, 11266.52, 5052
2026-05-08 02:44:58, 6882.61, 239
2026-05-08 02:45:28, 6781.48, 3050
2026-05-08 02:45:58, 5977.76, 325
2026-05-08 02:46:28, 6550.50, 292
2026-05-08 02:46:58, 6347.23, 296
2026-05-08 02:47:28, 6234.52, 480
2026-05-08 02:47:58, 6009.67, 459
2026-05-08 02:48:28, 6026.25, 465
2026-05-08 02:48:58, 6025.55, 311
2026-05-08 02:49:28, 5530.02, 467
2026-05-08 02:49:59, 6170.11, 3097
2026-05-08 02:50:29, 6052.97, 421
2026-05-08 02:50:59, 5771.92, 375
2026-05-08 02:51:29, 5633.46, 510
2026-05-08 02:51:59, 5471.84, 3840
2026-05-08 02:52:29, 5743.89, 350
2026-05-08 02:52:59, 5434.21, 336
2026-05-08 02:53:29, 5307.54, 380
2026-05-08 02:53:59, 3879.84, 4017
2026-05-08 02:54:29, 6766.36, 363
2026-05-08 02:54:59, 6162.62, 461
2026-05-08 02:55:29, 6160.25, 490
2026-05-08 02:55:59, 5571.68, 580
2026-05-08 02:56:29, 5151.02, 566
2026-05-08 02:56:59, 4943.47, 533
2026-05-08 02:57:29, 5064.98, 433
2026-05-08 02:57:59, 5072.45, 445
2026-05-08 02:58:29, 20031.79, 6490
2026-05-08 02:58:59, 16127.17, 6278
2026-05-08 02:59:29, 12506.77, 5901
2026-05-08 02:59:59, 8652.60, 5375
2026-05-08 03:00:29, 6614.17, 292
2026-05-08 03:00:59, 6441.65, 2944
2026-05-08 03:01:29, 5940.74, 318
2026-05-08 03:01:59, 6329.41, 343
2026-05-08 03:02:30, 6247.25, 277
2026-05-08 03:03:00, 6293.25, 382
2026-05-08 03:03:30, 5814.28, 540
2026-05-08 03:04:00, 5968.38, 369
2026-05-08 03:04:30, 5780.14, 3205
2026-05-08 03:05:00, 5983.06, 378
2026-05-08 03:05:30, 5865.73, 441
2026-05-08 03:06:00, 5663.17, 461
2026-05-08 03:06:30, 5421.40, 465
2026-05-08 03:07:00, 3683.50, 4137
2026-05-08 03:07:30, 6772.15, 350
2026-05-08 03:08:00, 6400.74, 411
2026-05-08 03:08:30, 6264.41, 394
2026-05-08 03:09:00, 5687.72, 425
2026-05-08 03:09:30, 5738.44, 383
2026-05-08 03:10:00, 5573.83, 407
2026-05-08 03:10:30, 5540.64, 399
2026-05-08 03:11:00, 18836.94, 6561
2026-05-08 03:11:30, 15422.67, 6208
2026-05-08 03:12:00, 12189.05, 6061
2026-05-08 03:12:30, 8151.27, 3462
2026-05-08 03:13:00, 7139.98, 311
2026-05-08 03:13:30, 6292.64, 289
2026-05-08 03:14:01, 6744.16, 265
2026-05-08 03:14:31, 6761.90, 3394
2026-05-08 03:15:01, 6329.72, 371
2026-05-08 03:15:31, 6257.85, 525
2026-05-08 03:16:01, 6297.86, 324
2026-05-08 03:16:31, 6361.30, 3296
2026-05-08 03:17:01, 5805.00, 396
2026-05-08 03:17:31, 6191.89, 516
2026-05-08 03:18:01, 6030.05, 353
2026-05-08 03:18:31, 6203.09, 413
2026-05-08 03:19:01, 5733.06, 674
2026-05-08 03:19:31, 5535.05, 486
2026-05-08 03:20:01, 5748.59, 3476
2026-05-08 03:20:31, 4180.31, 4396
2026-05-08 03:21:01, 6755.21, 367
2026-05-08 03:21:31, 6498.32, 376
2026-05-08 03:22:01, 6057.28, 547
2026-05-08 03:22:31, 5745.37, 546
2026-05-08 03:23:01, 5815.58, 454
2026-05-08 03:23:31, 5573.68, 508
2026-05-08 03:24:01, 5722.18, 481
2026-05-08 03:24:31, 5514.17, 557
2026-05-08 03:25:01, 16879.25, 6366
2026-05-08 03:25:31, 14036.92, 6241
2026-05-08 03:26:01, 10080.71, 5863
2026-05-08 03:26:32, 7022.87, 4226
2026-05-08 03:27:02, 6637.35, 242
2026-05-08 03:27:32, 5979.23, 229
2026-05-08 03:28:02, 6615.83, 262
2026-05-08 03:28:32, 6574.90, 256
2026-05-08 03:29:02, 6349.76, 273
2026-05-08 03:29:32, 6027.93, 286
2026-05-08 03:30:02, 5925.23, 347
2026-05-08 03:30:32, 6002.70, 298
2026-05-08 03:31:02, 5706.32, 291
2026-05-08 03:31:32, 6100.58, 363
2026-05-08 03:32:02, 5887.07, 399
2026-05-08 03:32:32, 5936.55, 341
2026-05-08 03:33:02, 5522.17, 423
2026-05-08 03:33:32, 5692.89, 411
2026-05-08 03:34:02, 5842.87, 445
2026-05-08 03:34:32, 5679.93, 401
